AGI_Code	Name.x	Function.x	Localisation	DOI	Comment.x	BIN	metal.1	metal.2	metal.3	Short.name.x	Annotation.x	Other.Name.Type.	Keywords	Is.full.length.cDNA	Name.y	Pathway.x	Function.y	Activity	Comment.y	Annotation.y	Annotation.x	Annotation.y	Annotation	Short.name.y	Localization	Pathway.y	Proposed.functions	Short.name	Localizationa	Fe.S.cluster.typeb	Full.name.annotation	Gene.short.name	Name	Meiotic.phase	Description_custom	Gene_Name	Protein	Function	Ref.	Title	Protein.family.or.Function	Function.related.to.Suberin	Refs
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Homologous recombination			MMC-s (Bleuyard2005)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Homologous recombination			MMC-s (Bleuyard2005)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NER-related		chromatin remodeling, SNF2-like		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NER-related		chromatin remodeling, SNF2-like		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Homologous recombination				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Homologous recombination				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					Interaction with yeast MRE11.  Mutant exhibits sensitivity to MMS and MMC, enhances sterility of atm mutants.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					Interaction with yeast MRE11.  Mutant exhibits sensitivity to MMS and MMC, enhances sterility of atm mutants.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NER-related			aka CSA1, CSAat1B,	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NER-related			aka CSA1, CSAat1B,	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					Functions in active DNA demethylation: by removing the blocking 3´-P generated by ROS1 after 5-meC excision; zdp mutants display an altered DNA methylation landscape; they are also sensitive to MMS, suggesting a role of ZDP in BER (Martinez-Macias, et al., 2012, Mol Cell 45, 357-370).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					Functions in active DNA demethylation: by removing the blocking 3´-P generated by ROS1 after 5-meC excision; zdp mutants display an altered DNA methylation landscape; they are also sensitive to MMS, suggesting a role of ZDP in BER (Martinez-Macias, et al., 2012, Mol Cell 45, 357-370).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NER-related				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NER-related				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA								
(Arp)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					Arp: Required for BER of uracil and abasic sites. Mutants are sensitive to 5-FU (Cordoba-Cañero, et atl, 2011, Plant J 68, 693-702.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
(synonyms)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 ARV1 [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 DCL1 (DICER-LIKE1); ATP-dependent helicase/ ribonuclease III [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 unknown protein [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP78A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 DNA binding / DNA-directed RNA polymerase/ transcription factor [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP703A  CYP703A2 is expressed specifically in anthers of land plants, catalyzing the in-chain hydroxylation at the C-7 position of medium-chain saturated fatty acids (lauric acid in-chain hydroxylase) which is involved in pollen development (sporopollenin synthesis).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01340	CNGC10	Arabidopsis putative cyclic nucleotide-gated ion channel 10		10.3390/ijms20020413			Ca	Pb		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01490	NA	NA	NA	NA	NA	NA	NA	NA	NA		heavy-metal-associated domain-containing proteinheavy-metal-associated domain-containing protein		similar to heavy-metal-associated domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G23760.1); similar to Unknown (protein for MGC:78286) [Mus musculus] (GB:AAH71252.1); contains InterPro domain Heavy metal transport/detoxification protein; (InterPro:IPR006121)		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01580	FRO2	ferric chelate reductase "the one" FRD1	plasma membrane		or metal mobilization	transport.metal	Fe			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes the low-iron-inducible ferric chelate reductase responsible for reduction of iron at the root surface.  It is likely to be the major Fe(III) chelate reductase in Arabidopsis iron metabolism.  Coordinately regulated with IRT1, the major transporter responsible for high-affinity iron uptake from the soil, at both transcriptional and posttranscriptional levels. Steady state mRNA levels are regulated by several metals.  Its transcription is regulated by FIT1.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01590	FRO1	putative ferric chelate reductase			cellular metal acquitsition	transport.metal	Fe			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes a ferric-chelate reductase that is expressed at extremely low levels in Fe deficiency-induced seedlings.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PRD3	Putative Recombination Initiation Defects 3	DSB formation in meiotic recombination	also PAIR1; required for meitotic DSB formation; orthologue of rice PAIR1; required for formation of DMC1 foci; SPO11 accessory; outlier in tetraploid A. arenosa	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 DNA binding / nuclease [Arabidopsis thaliana] 	NA	DNA repair protein, putative; FUNCTIONS IN: DNA binding, catalytic activity, nuclease activity; INVOLVED IN: DNA repair; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: XPG N-terminal (InterPro:IPR006085), DNA repair protein (XPGC)/yeast Rad (InterPro:IPR006084), Helix-hairpin-helix motif, class 2 (InterPro:IPR008918), XPG I (InterPro:IPR006086); BEST Arabidopsis thaliana protein match is: DNA binding / catalytic/ chromatin binding / nuclease (TAIR:AT3G48900.2); Has 1560 Blast hits to 1437 proteins in 260 species: Archae - 192; Bacteria - 1; Metazoa - 427; Fungi - 473; Plants - 104; Viruses - 11; Other Eukaryotes - 352 (source: NCBI BLink).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 SPL8 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 8); DNA binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 unknown protein [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02160	NA	NA	NA	NA	NA	NA	NA	NA	NA		Unknown		similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ61750.1); contains InterPro domain CHCH (InterPro:IPR010625); contains InterPro domain MTCP1 (InterPro:IPR009069)		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 LOL3 (LSD ONE LIKE 3); caspase/ cysteine-type endopeptidase [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GERMIN-LIKE PROTEIN SUBFAMILY 2 MEMBER 2 PRECURSOR. (GL22); FUNCTIONS IN: manganese ion binding, nutrient reservoir activity; LOCATED IN: endomembrane system, apoplast; CONTAINS InterPro DOMAIN/s: Cupin, RmlC-type (InterPro:IPR011051), Cupin 1 (InterPro:IPR006045), RmlC-like jelly roll fold (InterPro:IPR014710), Germin (InterPro:IPR001929); BEST Arabidopsis thaliana protein match is: GLP10 (GERMIN-LIKE PROTEIN 10); manganese ion binding / nutrient reservoir (TAIR:AT3G62020.1); Has 1351 Blast hits to 1293 proteins in 225 species: Archae - 0; Bacteria - 312; Metazoa - 0; Fungi - 63; Plants - 945; Viruses - 0; Other Eukaryotes - 31 (source: NCBI BLink).      GERMIN-LIKE PROTEIN SUBFAMILY 2 MEMBER 2 PRECURSOR.; GL22; T6A9.3        manganese ion binding, endomembrane system, nutrient reservoir activity, apoplast      true	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	protoporphyrinogen oxidase-related; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: siroheme biosynthetic process; Has 0 Blast hits to 0 proteins in 0 species (source: NCBI BLink).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
