ID,AGI_Number,Name,Function,generous/stringent/proven direct role,Localisation,EC/TC,DOI,Comment,BINCODE,BIN,EvidenceCode,Annotator / Curator,metal 1,metal 2,metal 3
1,at1g01340,CNGC10,Arabidopsis putative cyclic nucleotide-gated ion channel 10,gsp,,,10.3390/ijms20020413,,,,,,Ca,Pb,
2,at1g01580,FRO2,"ferric chelate reductase ""the one"" FRD1",gsp,plasma membrane,,,or metal mobilization,34.12,transport.metal,"frd1 mutant, experimental",U. Kraemer,Fe,,
3,at1g01590,FRO1,putative ferric chelate reductase,gsp,,,,cellular metal acquitsition,34.12,transport.metal,,U. Kraemer,Fe,,
4,at1g02500,SAMS1,S-adenosylmethionine synthetase 1,gs,,2.5.1.6,,,15,metal handling,ask Hoefgen group,U. Kraemer,Zn,Fe,
5,at1g03980,PCS2,phytochelatin synthase,gsp,,2.3.2.15,,,15,metal handling,functional complementation of S.pombe mutant,U. Kraemer,Zn,Cd,Cu
6,at1g05300,ZIP5,ZIP family of transmembrane metal transport proteins,gsp,,2.A.5.1.1.,,,34.12,transport.metal,,U. Kraemer,Zn,,
7,at1g07025,MIT,"Mitoferrin of MITOCHONDRIAL SOLUTE CARRIER (MSC) family, putative iron transporter across inner mitochondrail membrane related to ScMrs3p and ScMrs4p",gsp,,,,,,,,U. Krämer,Fe,,
8,at1g07030,Mfm1,"Mitoferrin-related of MITOCHONDRIAL SOLUTE CARRIER (MSC) family, putative iron transporter across inner mitochondrail membrane related to ScMrs3p and ScMrs4p",gsp,,,,,,,,U. Krämer,Fe,,
9,at1g07367,IRONMAN4,Member of conserved family of peptides involved in Fe uptake and homeostasis.,gsp,,,,,,,,,Fe,,
10,at1g07373,IRONMAN6,Member of conserved family of peptides involved in Fe uptake and homeostasis.,gsp,,,,,,,,,Fe,,
11,at1g07600,MT1a,metallothionein 1a,gsp,,,,,15,metal handling,,U. Kraemer,Cu,Cd,Zn
12,at1g07610,MT1c,metallothionein 1c,gsp,,,,,15,metal handling,,U. Kraemer,Cu,Cd,Zn
13,at1g08960,CAX11,Ca2+/H+ exchanger protein family of transmembrane transporters,gs,,2.A.19.2,,,34.12,transport.metal,,U. Kraemer,,,
14,at1g09240,NAS3,nicotianamine synthase,gsp,,2.5.1.43,,"overexpr in A.halleri shoots, shoot-specific in A. thaliana",15,metal handling,enzyme assay using protein expressed in E. coli,U. Kraemer,Fe,Zn,Cu
15,at1g09509,IRONMAN5,Member of conserved family of peptides involved in Fe uptake and homeostasis.,gsp,,,,,,,,,Fe,,
16,at1g10970,ZIP4,ZIP family of transmembrane metal transport proteins,gsp,,2.A.5.1.1.,,,34.12,transport.metal,,U. Kraemer,Zn,Cu,
17,at1g12520,CCS,copper chaperone for CuZnSOD,gsp,,,,mediates the delivery of Cu to the CuZnSOD. Same gene encodes for cytosolic and chloroplastic CCS.,15,metal handling,,U. Kraemer / M. Bernal,Cu,,
18,at1g14870,PCR2,"related to PCR1, published as transmembrane Cd exporter conferring Cd tolerance ",gsp,,,,,,,,,Zn,Cd,
19,at1g14880,PCR1,"Cys-rich protein, published as plasma membrane Cd exporter conferring Cd tolerance (Lee and Martinoia)",gsp,,,,Enrico believes these proteins are merely facilitating membrane trafficking of transporters,,,,,Cd,,
20,at1g15960,NRAMP6,Nramp family,gsp,,2.A.55,,,34.12,transport.metal,,U. Kraemer,Fe,Cd,
21,at1g16310,MTP10,cation diffusion facitlitator or metal transport protein family (named CDF8 by us),gsp,,2.A.4,,AtMTP10,34.12,transport.metal,,U. Kraemer,Mn,,
22,at1g16890,"UBC13B, UBC36","UBIQUITIN CONJUGATING ENZYME 13B, UBIQUITIN-CONJUGATING ENZYME 36",gsp,,,,UBC36/UBC13B encodes a protein that may play a role in DNA damage responses and error-free post-replicative DNA repair. It can bind to the MMZ/UEV1 proteins in vitro.,,,,U. Krämer,Fe,,
23,at1g18910,BTSl2,"BRUTUS-like 1, putative Fe sensor; Fe.binding protein containing three hemerythrin motifs and Zn finger motifs; expressed in apical part of root overlap with IRT1, FIT1 etc.",gsp,cytoplasm?,,,"Janneke Balk works on it, Michele worked on it and found mutant to be Zn-tolerant; co-regulated (up) under both -Fe and high Zn",,,,U. Krämer,Fe,Zn,
24,at1g19610,PDF1.4,Plant Defensin 1.4; predicted to encode a PR (pathogenesis-related) protein. Belongs to the plant defensin (PDF) family.,gsp,,,10.1111/nph.12401,,15,metal handling,,U. Kraemer,Zn,,
25,at1g21140,VTL1,"Vacuolar Iron Transporter family; nodulin-like 1, decrease in transcript levels under Fe deficiency; complements vit1",gsp,,,10.1371/journal.pone.0110469,,,,,,Fe,,
26,at1g23010,LPR1,Low Phosphate Root 1; ferroxidase (multi-copper oxidase),gsp,endoplasmatic reticulum,,,,,,,,Fe,Cu,
27,at1g23020,FRO3,"ferric chelate reductase, putative",gsp,,,,,34.12,transport.metal,,U. Kraemer,Fe,,
28,at1g30270,CIPK23,"CBL-interacting serine/threonine-protein kinase 23, also LKS1, PKS17, SnRK3.23",gsp,cytoplasm?,,10.1016/j.molcel.2018.02.009,,,,,U. Krämer,Fe,Zn ,Mn
29,at1g30400,ABCC1,"vacuolar phytochelatin transmembrane transporter, also MRP1",gsp,vacuolar membrane,,,,,,,U. Krämer,"As, Cd",,
30,at1g31260,ZIP10,ZIP family of transmembrane metal transport proteins,gsp,,2.A.5.1.1.,,,34.12,transport.metal,,U. Kraemer,Zn,,
31,at1g47240,NRAMP2,Nramp family,gsp,peroxisome,2.A.55,,Mn transport,34.12,transport.metal,experimental / A. thaliana mutant,U. Kraemer,Fe,Mn,
32,at1g47395,IRONMAN2,Involved in regulation of iron deficiency response genes.,gsp,,,,,,,,,Fe,,
33,at1g47400,IRONMAN1,Involved in regulation of iron deficiency response genes. Overexpression results in hyperaccumulation of Fe and Mn.,gsp,,,,,,,,,Fe,,
34,at1g47401,IRONMAN8,"Member of a family of peptides involved in iron transport. Identified based on sequence homology with RNAseq support. Coordinates on TAIR9 assembly are Chr1:17,387,997-17,388,188",gsp,,,,,,,,,Fe,,
35,at1g48370,YSL8,Yellow stripe like transporter 8,gsp,,,,,,,,,Fe,,
36,at1g49030,PCR6,"related to PCR1, published as transmembrane Cd exporter conferring Cd tolerance ",gsp,,,,,,,,,Zn,,
37,at1g51070,bHLH115,"interactor of POPEYE, Fe deficiency response",gsp,,,,,,,,,Fe,,
38,at1g51610,MTP7,cation diffusion facitlitator or metal transport protein family (named CDF12 by us),gsp,,2.A.4,,AtMTPc4/AtMTP7,34.12,transport.metal,,U. Kraemer,,,
39,at1g52200,PCR8,"related to PCR1, published as transmembrane Cd exporter conferring Cd tolerance ",gsp,,,,,,,,,Zn,,
40,at1g53030,COX17-2,copper chaperone,gsp,,,,,15,metal handling,,U. Kraemer,Cu,,
41,at1g54115,CAX10,Ca2+/H+ exchanger protein family of transmembrane transporters,gs,,2.A.19.2,,,34.12,transport.metal,,U. Kraemer,,,
42,at1g55720,CAX6,Ca2+/H+ exchanger protein family of transmembrane transporters,gs,,2.A.19.2,,,34.12,transport.metal,,U. Kraemer,,,
43,at1g55730,CAX5,Ca2+/H+ exchanger protein family of transmembrane transporters,gs,,2.A.19.2,,,34.12,transport.metal,,U. Kraemer,,,
44,at1g55910,ZIP11,ZIP family of transmembrane metal transport proteins,gsp,,2.A.5.1.1.,,,34.12,transport.metal,,U. Kraemer,Zn,,
45,at1g55920,SERAT2;1,serine acetyltransferase 2;1,gs,,2.3.1.30,,,15,metal handling,ask Hoefgen group,U. Kraemer,Cd,Zn,
46,at1g56160,MYB72,"regulation of Fe deficiency responses in stele, incl. NAS5, also involved in ISR",gsp,,,10.1371/journal.pgen.1003953,,,,,U. Krämer,Fe,,
47,at1g56430,NAS4,putative nicotianamine synthase,gsp,,2.5.1.43,,expressed,15,metal handling,,U. Kraemer,Fe,Zn,Cu
48,at1g58320,PCR9,"related to PCR1, published as transmembrane Cd exporter conferring Cd tolerance ",gsp,,,,,,,,,Zn,,
49,at1g60960,IRT3,ZIP family of transmembrane metal transport proteins,gsp,,2.A.5.1.1.,,,34.12,transport.metal,,U. Kraemer,Zn,,
50,at1g63440,HMA5,"P1B CPX metal ATPase, Cu pump?",gsp,plasma membrane?,3.A.3,,,34.12,transport.metal,,U. Kraemer,Cu,,
51,at1g64150,MnT1,"Mn exporter from chloroplast? Knock-down is Mn-sensitive., 9.B.26 The PF27 (PF27) Family, UPF0016 domain",gsp,,,,,,,,Eisenhut/Weber,Mn,,
